SAMPLE.309.GA5.60 SAMPLE.311.GA6.60 SAMPLE.313.GA7.60 SAMPLE.315.GA8.60 SAMPLE.317.GP.5.60 SAMPLE.319.GP.6.60 SAMPLE.321.GP.7.60 SAMPLE.323.GP.8.60 SAMPLE.327.GF.II6.60 SAMPLE.329.GF.II.7.60 SAMPLE.331.GF.II.8.60 SAMPLE.405.MA5.60 SAMPLE.407.MA6.60 SAMPLE.409.MA7.60 SAMPLE.411.MA8.60 SAMPLE.413.MP.5.60 SAMPLE.415.MP.6.60 SAMPLE.417.MP.7.60 SAMPLE.419.MP.8.60 SAMPLE.421.MF.II.5.60 SAMPLE.423.MF.II6.60 SAMPLE.425.MF.II.7.60 SAMPLE.427.MF.II.8.60
OTU_141 5 3 3 17 12 9 71 46 0 3 2 4 0 2 3 9 16 7 14 45 17 34 8
OTU_142 5 1 0 7 3 2 96 6 0 3 3 21 7 11 20 18 8 13 21 39 14 37 10
OTU_143 26 8 14 60 8 1 57 22 2 27 13 57 27 24 32 58 41 23 37 35 11 31 14
OTU_144 3 0 1 6 2 0 5 2 1 5 0 4 2 3 10 1 39 28 31 130 40 52 10
OTU_145 0 0 0 1 0 0 1 0 38 84 97 1 0 0 1 1 0 1 2 0 0 0 0
OTU_146 2 3 4 16 19 1 24 25 44 45 113 1 0 4 1 4 4 1 5 15 2 8 3
OTU_147 1 0 1 1 2 0 1 0 0 1 0 4 1 9 10 28 10 8 11 6 1 8 6
OTU_148 3 1 1 0 1 2 12 8 1 4 2 7 4 4 10 4 19 18 14 39 20 41 27
OTU_149 0 1 1 1 0 0 1 2 1 4 4 17 11 8 18 9 62 23 35 4 1 3 2
OTU_150 6 5 2 5 0 0 11 9 1 3 2 6 3 6 6 5 14 5 7 16 9 53 19
OTU_151 2 2 1 4 2 2 12 13 0 1 4 0 1 1 1 3 11 10 8 46 14 49 16
OTU_152 8 4 3 11 4 3 15 10 3 4 6 14 2 6 15 7 18 17 11 17 9 18 13
OTU_153 2 0 0 1 0 0 3 1 1 3 0 23 9 11 21 6 2 10 6 10 4 12 1
OTU_154 2 17 15 50 13 4 23 13 0 3 2 2 0 0 1 2 1 2 1 0 0 3 0
OTU_155 5 0 0 2 1 0 11 0 3 0 4 7 1 2 4 12 9 4 14 30 17 33 9
OTU_156 2 0 0 9 2 0 13 4 3 1 2 15 7 9 19 23 23 28 13 8 8 11 3
OTU_157 2 1 0 6 2 0 1 1 73 45 56 1 0 0 0 1 0 1 0 0 0 1 1
OTU_158 6 0 0 4 0 1 4 6 1 2 1 26 8 20 17 3 6 6 6 7 4 8 6
OTU_159 6 0 1 17 4 0 27 25 1 1 5 4 1 2 5 4 19 20 20 2 2 13 4
OTU_160 2 7 4 11 1 1 9 3 1 1 1 26 12 15 29 2 6 2 3 2 0 3 2
OTU_161 23 15 8 42 5 2 28 21 3 4 6 24 7 12 30 34 20 16 15 38 14 43 20
OTU_162 3 3 6 13 9 5 49 21 0 3 3 0 0 0 0 2 19 20 14 9 2 2 2
OTU_163 1 3 2 20 2 2 21 12 2 1 3 1 0 2 1 0 1 2 0 29 12 16 4
OTU_164 45 28 18 98 5 1 26 9 4 5 4 20 9 16 30 23 37 23 29 8 6 3 3
OTU_165 2 0 3 10 5 2 6 2 236 259 234 2 0 0 4 1 3 1 3 5 1 2 0
OTU_166 7 3 0 5 1 0 6 1 1 0 2 13 2 8 15 17 5 7 16 35 18 20 18
OTU_167 1 0 1 1 1 0 25 5 1 0 1 0 1 2 1 1 4 2 1 13 4 20 9
OTU_168 5 0 0 4 1 0 1 0 3 2 1 24 6 25 36 6 22 26 26 40 31 26 20
OTU_169 5 1 5 9 1 2 13 9 0 2 0 2 0 2 0 3 1 4 0 5 3 33 23
OTU_170 2 6 5 8 4 1 5 3 4 1 3 13 2 3 5 5 13 9 8 13 9 20 8
OTU_171 2 4 7 20 12 6 79 47 1 2 3 2 0 1 1 2 5 1 2 20 7 6 1
OTU_172 1 0 0 1 1 0 0 0 0 2 2 21 7 7 13 2 1 3 0 3 0 1 2
OTU_173 3 5 0 2 1 0 8 1 6 2 1 5 4 3 9 0 9 9 5 15 4 14 6
OTU_174 17 4 3 16 1 0 26 24 10 5 7 24 10 21 27 37 19 20 19 18 6 19 2
OTU_175 1 2 1 28 1 0 5 7 3 1 2 7 5 13 12 5 19 12 15 25 12 26 6
OTU_176 5 8 7 27 2 2 23 6 1 2 3 1 0 2 1 2 6 17 12 11 1 4 3
OTU_177 0 3 2 5 0 0 3 1 26 82 45 0 0 0 4 1 1 0 1 4 3 0 1
OTU_178 2 1 1 6 1 0 5 4 0 1 2 2 1 2 7 3 15 13 15 12 1 17 2
OTU_179 1 2 4 19 3 0 9 4 1 1 1 17 6 3 15 19 9 13 7 20 11 19 11
OTU_180 4 4 4 6 4 3 14 11 40 38 40 2 0 3 0 1 4 1 1 10 4 11 1
OTU_181 17 3 5 39 8 6 20 9 2 3 5 46 23 22 47 32 43 41 37 31 22 33 13
OTU_182 0 3 1 8 4 2 4 9 26 40 90 3 0 3 1 4 5 3 2 15 6 23 13
OTU_183 4 4 1 9 0 1 26 10 1 1 0 3 0 1 1 0 15 3 4 5 0 3 1
OTU_184 2 2 5 8 3 2 4 1 24 137 121 1 0 2 2 0 2 4 0 1 1 0 3
OTU_185 22 0 1 0 0 0 0 0 0 1 1 15 5 8 7 6 1 6 9 9 3 19 1
OTU_186 7 1 3 6 5 1 9 8 3 1 2 7 4 1 3 2 13 12 11 38 11 29 13
OTU_187 9 5 6 17 5 0 38 24 2 5 1 3 6 2 3 7 18 16 21 44 5 25 14
OTU_188 1 1 1 4 0 0 5 4 1 0 1 10 6 10 7 9 11 6 6 15 2 6 5
OTU_189 5 0 0 1 0 2 23 3 1 1 0 11 2 3 8 2 4 9 12 34 15 30 17
OTU_190 2 2 2 1 0 4 7 6 0 3 3 6 2 2 8 9 12 11 11 23 8 18 7
OTU_191 17 1 7 21 2 0 5 0 2 20 3 1 0 0 2 3 2 3 1 10 1 8 3
OTU_192 1 0 0 2 0 0 5 10 1 0 1 11 8 7 5 6 12 10 6 14 10 11 12
OTU_193 1 0 0 5 0 0 12 4 1 0 2 4 1 2 6 1 4 5 4 20 14 18 16
OTU_194 9 4 4 13 1 0 1 1 0 0 2 18 4 1 11 12 7 14 6 2 2 10 3
OTU_195 14 15 6 46 1 1 4 4 0 0 0 2 2 2 4 2 1 1 5 4 3 3 4
OTU_196 4 0 0 11 1 0 19 8 0 1 1 0 0 2 3 4 15 11 7 20 7 6 2
OTU_197 12 5 8 39 1 2 39 10 0 1 0 0 0 0 1 8 5 5 2 10 0 2 0
OTU_198 2 4 8 23 2 2 8 8 4 30 9 2 0 1 4 4 9 4 13 15 10 24 12
OTU_199 13 6 5 18 4 0 2 2 0 0 1 7 0 0 4 4 5 6 3 7 5 7 3
OTU_200 3 0 0 8 1 0 4 3 3 3 2 34 11 14 39 18 16 35 24 14 7 18 6
