SAMPLE.745.GA5.60 SAMPLE.747.GA6.60 SAMPLE.749.GA7.60 SAMPLE.751.GA8.60 SAMPLE.753.GP.5.60 SAMPLE.755.GP.6.60 SAMPLE.757.GP.7.60 SAMPLE.759.GP.8.60 SAMPLE.761.GF.II.5.60 SAMPLE.763.GF.II6.60 SAMPLE.765.GF.II.7.60 SAMPLE.841.MA5.60 SAMPLE.843.MA6.60 SAMPLE.845.MA7.60 SAMPLE.847.MA8.60 SAMPLE.849.MP.5.60 SAMPLE.851.MP.6.60 SAMPLE.853.MP.7.60 SAMPLE.855.MP.8.60 SAMPLE.857.MF.II.5.60 SAMPLE.859.MF.II6.60 SAMPLE.861.MF.II.7.60 SAMPLE.863.MF.II.8.60
OTU_167 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 21 6
OTU_168 0 0 1 14 0 0 0 0 0 1 0 0 1 1 1 16 40 4 19 1 0 0 0
OTU_169 2 0 0 0 2 2 2 2 0 0 0 0 0 0 0 2 22 19 15 0 0 0 1
OTU_170 0 0 0 1 1 0 2 0 0 0 1 7 0 12 3 7 1 3 1 2 0 0 0
OTU_171 1 0 0 0 0 0 0 0 0 0 0 20 0 2 0 0 1 0 0 37 2 32 26
OTU_173 2 13 12 0 0 1 0 0 0 1 0 2 1 1 3 0 1 1 18 1 0 0 0
OTU_174 7 0 2 1 0 0 2 0 0 0 1 0 0 5 1 0 4 0 1 1 1 1 1
OTU_175 0 0 0 1 0 0 1 0 0 11 5 1 0 0 0 0 0 0 0 1 1 0 0
OTU_176 0 0 0 0 0 0 1 1 0 0 0 3 4 0 2 0 0 56 10 0 0 0 0
OTU_177 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 79 2 2 2 0 4 58 0
OTU_178 0 1 4 132 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_179 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 1 36 0
